Name	sample1	sample2	sample3	sample4	sample5	sample6
K01494	2	2	0	0	2	3
K01495	2	0	0	4	2	4
K01496	1	3	0	2	0	1
K01497	2	0	1	1	0	2
K01500	0	2	0	1	1	0
K01501	0	1	1	2	0	1
K01502	0	0	0	1	0	0
K01505	2	0	0	1	0	2
K01506	5	1	2	4	0	3
K01507	11	5	4	16	4	15
K01509	4	5	4	4	7	2
K01514	0	3	1	2	1	4
K01515	1	1	0	0	0	0
K01516	2	2	2	1	0	2
K01519	0	0	2	0	0	1
K01520	2	3	0	3	0	1
K01525	0	1	0	0	0	1
K01527	1	0	0	0	0	0
K01528	0	2	1	1	1	1
K01529	4	7	3	5	6	5
K01530	2	4	1	1	0	2
K01533	13	13	7	8	2	5
K01534	3	1	1	7	1	4
K01535	1	0	0	0	0	0
K01537	5	5	4	8	1	2
K01539	0	1	1	9	0	2
K01541	0	1	1	5	0	0
K01542	0	1	1	5	0	0
K01544	0	1	1	5	0	0
K01547	1	0	0	0	0	0
K01551	1	1	1	3	0	1
K01552	11	6	4	11	3	2
K01554	0	1	0	1	0	0
K01555	3	1	3	3	1	4
K01556	2	6	1	4	1	1
K01557	1	0	0	0	0	0
K01558	0	2	0	0	0	0
K01560	2	0	0	1	0	2
K01561	0	3	0	0	0	0
K01563	0	1	0	1	0	0
K01564	0	0	0	2	0	0
K01567	3	2	0	0	0	0
K01571	4	3	1	1	1	3
K01572	2	2	0	1	0	2
K01573	0	1	0	0	0	0
K01578	0	0	0	0	0	1
K01579	1	3	1	0	0	2
K01580	0	1	0	1	0	0
K01581	3	1	1	2	1	0
K01582	1	0	0	0	2	0
K01583	0	0	0	0	1	0
K01584	1	0	0	1	1	0
K01585	4	2	2	2	1	5
K01586	8	4	0	5	0	3
K01588	5	5	1	4	3	1
K01589	5	1	0	3	0	1
K01590	1	1	2	1	0	0
K01591	2	2	1	2	1	5
K01593	1	2	3	2	1	0
K01594	0	0	0	1	0	0
K01595	4	2	3	4	3	2
K01596	1	2	2	1	1	2
K01597	0	0	0	2	0	2
K01598	0	2	0	0	0	0
K01599	4	3	1	3	2	2
K01601	10	3	5	6	3	9
K01602	3	1	2	1	1	0
K01604	0	2	0	2	1	2
K01605	0	0	0	0	0	1
K01607	1	2	0	2	0	0
K01609	3	2	2	1	0	4
K01610	6	3	2	6	0	4
K01611	2	0	0	0	0	0
K01613	1	0	1	8	1	1
K01615	1	1	0	0	0	1
K01616	3	0	0	2	0	1
K01617	1	1	0	0	0	0
K01618	2	2	1	2	1	0
K01619	4	3	0	5	1	0
K01620	6	3	0	0	1	3
K01621	1	1	0	1	0	0
K01623	5	6	1	4	1	2
K01624	3	3	1	5	1	4
K01625	1	0	0	3	0	1
K01626	5	3	1	5	1	3
K01627	7	3	0	4	3	2
K01628	1	0	0	0	0	0
K01630	0	1	0	0	0	0
K01631	0	2	0	2	1	1
K01632	0	1	0	1	0	0
K01633	4	0	1	2	1	2
K01634	0	0	0	0	1	0
K01636	0	1	0	1	0	0
K01637	4	3	1	2	1	1
K01638	2	2	1	4	6	2
K01640	5	3	1	5	3	2
K01641	1	1	0	0	0	0
K01643	0	0	0	0	0	1
K01644	2	1	0	1	3	0
K01647	7	5	2	7	9	4
K01648	0	1	0	3	1	2
K01649	9	3	6	8	3	5
K01652	21	11	9	14	3	8
K01653	2	1	1	1	0	3
K01654	0	1	0	2	6	4
K01655	0	0	0	1	0	0
K01657	8	9	1	4	3	3
K01658	6	1	1	2	2	2
K01659	0	0	1	0	2	0
K01661	1	3	0	3	1	3
K01662	13	9	3	9	3	8
K01663	2	0	0	1	1	2
K01664	3	0	1	1	0	1
K01665	1	2	1	1	0	1
K01666	2	0	0	1	0	4
K01667	0	0	0	1	0	1
K01669	4	2	4	4	1	7
K01672	0	1	0	2	0	0
K01673	5	1	4	3	1	2
K01674	0	1	0	0	0	0
K01676	1	2	2	4	0	1
K01678	0	0	0	1	0	0
K01679	7	4	7	4	0	3
K01681	7	6	4	9	7	11
K01682	8	3	2	4	3	3
K01684	0	0	0	1	0	0
K01685	0	0	0	1	1	2
K01686	2	0	1	3	0	1
K01687	10	10	6	11	3	12
K01689	10	9	1	6	3	2
K01690	1	1	1	2	2	3
K01691	0	0	0	0	0	1
K01692	16	9	4	15	5	15
K01693	2	2	0	0	2	1
K01694	3	2	0	2	0	2
K01695	6	3	0	1	2	3
K01696	9	5	3	7	2	5
K01697	3	2	2	5	0	0
K01698	2	4	1	4	0	8
K01699	0	0	0	0	0	1
K01702	4	2	1	5	3	1
K01703	4	6	1	4	5	4
K01704	3	3	0	5	0	0
K01705	1	0	0	0	0	0
K01706	0	0	0	0	1	0
K01707	0	1	0	0	0	0
K01708	0	0	0	0	1	2
K01709	0	2	0	0	0	0
K01710	12	6	4	7	6	8
K01711	4	8	4	3	1	1
K01712	2	4	1	1	3	3
K01714	8	3	3	10	6	6
K01715	2	0	1	0	0	0
K01716	0	0	0	0	0	1
K01718	0	0	0	1	1	0
K01719	1	0	0	1	1	0
K01721	2	2	0	3	0	1
K01724	2	0	1	1	1	2
K01725	0	0	0	1	0	0
K01726	1	2	3	0	0	4
K01729	1	2	0	2	1	0
K01733	6	5	0	5	0	7
K01734	1	0	0	0	0	0
K01735	2	2	1	3	1	4
K01736	8	6	0	3	3	5
K01737	2	2	2	1	0	1
K01738	8	2	6	8	0	2
K01739	6	1	1	9	2	2
K01740	4	2	3	10	3	4
K01744	0	0	0	2	0	0
K01745	0	7	1	4	1	3
K01749	3	2	0	3	1	3
K01750	3	6	1	2	1	1
K01751	0	0	0	0	1	1
K01752	2	5	1	8	1	4
K01753	0	0	0	0	0	1
K01754	5	8	1	7	2	3
K01755	4	5	1	5	0	4
K01756	8	7	2	10	5	6
K01758	4	3	1	7	1	3
K01759	3	2	3	5	4	3
K01760	5	3	3	5	2	3
K01761	2	2	4	3	0	3
K01764	0	1	0	0	1	0
K01766	0	1	0	0	0	0
K01768	2	4	1	7	3	1
K01769	2	2	1	1	2	2
K01770	0	0	0	2	0	2
K01772	5	2	1	5	3	4
K01775	2	0	3	1	0	0
K01776	0	2	1	2	0	1
K01777	1	1	2	0	0	0
K01778	5	1	1	5	3	3
K01779	1	1	0	0	0	0
K01782	2	6	1	7	2	7
K01783	3	2	0	2	0	3
K01784	11	7	3	11	2	9
K01785	0	0	1	1	0	2
K01787	1	0	0	0	0	0
K01788	0	1	2	0	0	0
K01789	1	1	0	1	3	2
K01790	2	4	2	0	1	0
K01791	1	3	1	8	0	2
K01792	0	1	3	0	0	0
K01795	2	3	0	6	4	5
K01796	2	1	1	0	1	1
K01797	1	0	0	2	0	1
K01798	0	0	0	0	0	1
K01799	0	1	0	0	0	0
K01802	1	6	3	17	3	12
K01803	4	6	1	3	1	2
K01804	1	1	0	0	0	1
K01805	2	0	2	7	1	3
K01807	3	3	1	2	0	2
K01808	0	2	0	2	0	1
K01809	5	6	2	4	2	2
K01810	5	4	2	3	1	4
K01811	0	1	0	0	0	0
K01812	2	3	1	2	0	3
K01813	0	0	0	1	0	0
K01814	3	2	2	4	2	4
K01815	0	1	0	0	0	2
K01816	3	2	0	7	0	3
K01817	2	1	0	1	1	2
K01818	0	1	0	2	0	0
K01820	0	1	0	0	0	0
K01821	0	1	0	0	0	0
K01823	1	0	0	0	1	0
K01825	0	0	0	0	1	0
K01826	1	0	0	3	0	1
K01828	0	0	0	3	0	1
K01829	0	0	0	1	0	0
K01834	7	4	1	7	5	3
K01835	5	4	1	7	2	1
K01836	1	0	0	0	1	0
K01838	0	0	0	1	0	0
K01839	0	0	1	2	0	1
K01840	10	8	3	8	6	6
K01841	1	1	0	0	1	1
K01842	1	0	1	0	0	1
K01843	3	2	1	1	0	0
K01845	8	4	0	10	1	7
K01847	11	6	1	4	3	8
K01848	7	3	1	1	3	7
K01849	1	1	0	2	0	0
K01852	1	0	0	0	1	0
K01853	0	0	0	0	1	0
K01854	1	1	1	2	0	0
K01856	1	0	0	1	0	0
K01857	0	0	0	0	0	1
K01858	0	2	0	4	0	1
K01866	8	2	5	5	3	5
K01867	9	7	2	3	2	3
K01868	13	10	2	12	3	1
K01869	11	10	8	10	11	8
K01870	11	16	3	23	9	7
K01872	12	18	2	15	6	10
K01873	14	8	9	13	10	11
K01874	18	5	7	9	2	9
K01875	6	8	2	13	5	4
K01876	6	8	5	5	4	5
K01878	3	2	1	3	0	5
K01879	4	0	2	2	1	1
K01880	3	6	1	9	3	5
K01881	8	9	3	7	2	3
K01883	6	5	0	4	1	5
K01885	12	5	3	12	6	6
K01886	1	5	6	6	4	5
K01887	10	4	4	6	6	4
K01889	3	3	1	4	0	4
K01890	11	5	5	4	2	9
K01892	1	4	2	3	3	2
K01893	5	3	2	6	5	6
K01894	2	2	1	3	0	1
K01895	18	11	5	11	2	12
K01896	1	0	0	1	0	0
K01897	14	10	5	13	3	13
K01899	8	4	3	7	1	3
K01900	3	5	0	2	4	1
K01902	10	5	4	9	1	5
K01903	7	6	1	4	7	2
K01904	0	0	0	2	0	0
K01907	1	4	0	3	0	0
K01908	3	6	0	5	1	5
K01911	0	2	0	1	1	0
K01912	2	0	0	2	1	5
K01913	1	2	0	1	1	3
K01914	0	0	1	0	0	0
K01915	23	17	4	16	7	21
K01916	2	2	2	0	0	7
K01918	1	2	1	2	0	1
K01919	5	2	1	2	1	2
K01920	2	2	1	4	0	2
K01921	1	2	1	3	0	2
K01923	4	7	1	1	3	2
K01924	3	8	3	4	2	5
K01925	7	3	1	6	1	4
K01928	4	4	0	5	1	4
K01929	1	4	0	3	0	2
K01930	0	0	1	0	0	1
K01932	1	0	0	4	1	1
K01933	2	2	1	4	4	5
K01934	1	1	2	0	4	1
K01935	0	1	0	0	0	1
K01937	5	6	4	12	3	6
K01938	7	5	4	6	0	2
K01939	8	5	3	9	4	4
K01940	8	5	0	3	5	6
K01941	1	4	1	2	2	1
K01945	10	1	0	6	2	6
K01948	0	3	0	2	1	1
K01950	5	1	2	3	1	2
K01951	10	2	2	8	0	11
K01952	19	9	5	7	7	14
K01953	5	2	1	7	0	1
K01954	0	1	0	1	1	1
K01955	13	14	6	11	10	11
K01956	2	6	1	9	0	3
K01957	0	0	1	0	0	0
K01958	4	7	1	10	0	9
K01959	5	4	0	5	6	4
K01960	0	0	1	1	0	2
K01961	10	8	2	10	9	9
K01962	4	10	3	1	4	1
K01963	6	3	1	6	2	6
K01965	7	4	1	8	7	5
K01966	9	15	1	16	8	13
K01968	8	5	3	3	8	5
K01969	6	3	0	3	4	4
K01971	0	1	1	1	1	4
K01972	6	5	3	6	6	7
K01989	1	0	0	0	0	0
K01990	14	7	8	12	3	2
K01991	1	3	0	1	0	0
K01992	7	5	0	3	2	6
K01995	9	4	1	7	4	7
K01996	6	1	0	9	4	6
K01997	5	4	5	3	5	3
K01998	8	4	3	5	5	5
K01999	10	9	0	8	4	3
K02000	4	5	3	0	0	2
K02001	3	3	1	2	2	3
K02002	1	3	0	1	0	3
K02005	5	2	0	5	0	2
K02006	0	0	1	1	0	0
K02008	0	0	0	0	0	1
K02010	2	5	0	7	1	5
K02011	5	3	0	4	1	2
K02012	4	1	0	1	0	2
K02013	0	1	1	0	2	0
K02014	9	10	7	13	5	3
K02015	3	2	0	2	2	1
K02016	0	1	1	0	1	2
K02017	0	1	0	0	0	0
K02018	0	2	1	0	1	0
K02020	1	1	0	2	0	0
K02021	5	3	2	1	3	2
K02023	12	14	0	13	8	15
K02024	0	0	0	1	0	0
K02025	7	16	3	11	4	9
K02026	6	3	1	9	4	5
K02027	5	4	3	6	6	9
K02028	9	3	1	7	1	5
K02029	3	3	2	4	2	4
K02030	6	5	3	5	2	2
K02031	7	7	3	12	4	7
K02032	20	16	7	33	11	13
K02033	13	5	1	14	3	10
K02034	15	7	2	22	2	10
K02035	13	9	3	6	2	14
K02036	2	2	1	5	0	3
K02037	1	2	1	3	2	2
K02038	4	1	1	0	1	1
K02039	0	2	0	3	0	2
K02040	3	2	3	4	4	0
K02041	2	3	0	4	0	0
K02042	2	5	1	0	3	2
K02043	1	2	0	0	0	0
K02044	1	1	1	3	1	1
K02045	1	2	0	2	0	2
K02046	2	0	0	0	0	0
K02049	10	7	2	7	3	9
K02050	6	7	1	5	2	8
K02051	9	5	2	8	1	7
K02052	3	5	7	7	5	2
K02053	4	1	0	4	1	3
K02054	5	4	0	3	2	5
K02055	7	7	0	5	2	4
K02056	8	2	1	6	6	3
K02057	7	7	3	13	8	7
K02058	4	2	2	4	3	6
K02062	0	1	0	0	1	1
K02063	0	1	0	0	0	2
K02064	1	0	1	1	0	1
K02065	4	5	2	5	1	2
K02066	1	3	1	4	0	2
K02067	2	0	0	0	0	1
K02069	0	0	0	1	0	1
K02072	0	0	0	1	0	0
K02073	1	0	0	0	0	0
K02075	0	0	0	2	0	1
K02077	0	0	0	0	1	0
K02078	2	0	3	1	1	1
K02080	0	0	1	0	0	0
K02085	0	0	1	0	0	0
K02087	1	1	2	2	1	0
K02088	1	1	1	0	1	0
K02089	0	0	1	0	0	0
K02090	1	1	0	1	1	0
K02091	0	0	1	0	0	0
K02093	1	0	0	1	0	2
K02094	0	1	0	0	0	0
K02096	1	0	0	2	1	1
K02097	1	0	0	1	0	3
K02105	0	0	1	1	1	0
K02108	4	3	2	1	5	1
K02109	0	1	0	2	0	3
K02110	2	0	1	4	3	0
K02111	7	11	8	12	8	9
K02112	14	6	5	14	7	6
K02113	0	0	1	1	2	2
K02114	1	1	0	2	1	2
K02115	3	7	0	5	1	0
K02116	0	0	0	1	0	0
K02117	0	0	0	1	1	2
K02118	0	0	0	1	0	0
K02128	1	1	3	1	0	0
K02132	5	9	2	6	5	5
K02133	12	6	5	13	5	6
K02134	0	0	0	1	0	1
K02136	0	0	0	1	0	0
K02144	0	0	0	1	0	0
K02145	1	0	0	1	1	2
K02146	0	0	0	1	0	0
K02147	0	0	1	5	1	0
K02149	0	0	0	0	0	1
K02154	3	2	1	2	1	2
K02155	0	0	0	1	0	1
K02160	1	2	1	3	2	5
K02166	0	0	0	2	0	0
K02168	2	0	3	2	0	3
K02176	0	0	0	2	0	0
K02177	0	0	1	0	0	0
K02182	0	1	0	0	0	1
K02183	3	1	0	2	1	1
K02188	0	0	2	0	0	0
K02189	1	0	0	0	0	0
K02193	3	0	0	0	0	0
K02194	0	0	1	0	0	0
K02195	1	0	1	3	0	0
K02196	0	0	0	2	0	0
K02197	1	1	0	0	0	0
K02198	2	2	1	4	4	1
K02199	0	2	0	0	0	0
K02200	0	1	1	0	1	1
K02202	0	1	2	0	1	0
K02203	0	0	1	0	0	0
K02204	0	1	0	2	0	0
K02206	1	1	2	0	1	0
K02208	0	0	1	0	1	0
K02209	0	0	3	2	1	1
K02210	1	2	2	4	0	1
K02211	0	0	0	2	0	0
K02212	0	1	0	2	0	1
K02213	0	0	1	0	0	0
K02216	0	1	0	0	0	0
K02217	0	1	0	1	0	0
K02218	0	0	0	2	2	2
K02219	0	0	0	1	0	0
K02221	0	0	2	0	1	0
K02222	0	0	0	2	0	0
K02223	1	0	0	0	0	0
K02224	1	1	0	3	1	0
K02225	1	1	0	0	0	0
K02227	1	1	0	1	1	2
K02228	1	0	0	0	0	0
K02230	5	3	2	5	0	5
K02231	0	0	1	0	0	0
K02232	1	0	0	1	0	3
K02234	0	2	0	0	0	2
K02238	0	1	1	2	0	1
K02256	4	4	5	13	6	11
K02257	0	1	1	0	0	0
K02258	2	2	0	1	0	0
K02259	4	2	1	2	0	3
K02261	3	0	1	7	6	5
K02262	5	2	2	5	3	3
K02263	0	1	0	0	0	0
K02274	13	7	5	23	6	15
K02275	6	3	2	7	2	3
K02276	7	3	3	7	4	4
K02280	1	1	1	2	1	1
K02282	1	1	1	0	0	0
K02283	4	1	0	4	0	7
K02284	1	0	0	0	0	0
K02285	1	0	0	1	0	1
K02286	2	0	0	2	0	0
K02287	0	1	0	0	0	1
K02288	1	0	0	0	0	0
K02290	1	0	0	0	0	1
K02291	2	1	0	1	0	1
K02292	1	0	0	0	0	0
K02293	1	1	0	1	0	0
K02294	2	1	0	0	2	0
K02295	0	1	2	0	0	1
K02299	0	1	0	0	0	0
K02300	0	1	0	0	0	0
K02301	0	2	0	1	1	1
K02302	4	2	0	2	1	3
K02303	3	4	0	1	1	3
K02305	0	0	0	0	1	0
K02312	1	0	0	0	0	0
K02313	7	2	2	4	1	9
K02314	3	8	4	10	6	6
K02316	3	3	1	3	0	3
K02320	0	0	1	0	0	0
K02324	0	2	0	1	1	3
K02327	0	0	1	0	0	1
K02330	0	1	0	0	0	1
K02331	1	1	0	0	0	0
K02332	0	0	1	0	0	0
K02334	0	0	0	3	1	2
K02335	11	4	5	9	4	11
K02337	15	16	4	14	4	13
K02338	5	3	1	1	1	0
K02339	0	0	0	2	1	0
K02340	2	2	0	2	1	2
K02341	0	0	0	1	1	2
K02342	2	4	0	3	3	1
K02343	6	4	0	8	1	8
K02346	1	3	2	7	4	7
K02347	0	0	0	0	0	1
K02348	0	1	0	1	0	0
K02349	1	1	0	1	0	0
K02350	0	0	2	0	0	1
K02353	0	0	0	0	1	0
K02355	12	13	9	10	4	8
K02356	5	0	1	2	2	3
K02357	2	3	1	3	0	9
K02358	16	7	7	21	5	21
K02359	0	1	0	0	0	0
K02363	1	0	0	0	0	0
K02365	0	0	0	0	1	0
K02367	0	1	0	0	1	0
K02370	0	1	0	1	0	1
K02371	1	3	0	0	1	0
K02372	1	1	1	2	1	0
K02377	4	5	1	2	1	1
K02379	3	1	0	0	0	0
K02386	2	0	0	0	0	0
K02387	0	1	0	0	0	1
K02388	0	0	1	0	0	2
K02389	0	1	0	0	0	0
K02390	1	1	0	3	0	1
K02392	1	2	1	1	0	1
K02393	1	0	0	0	0	0
K02394	6	2	0	1	0	0
K02396	0	0	0	0	0	1
K02397	0	1	0	0	0	0
K02400	3	3	2	6	0	3
K02401	0	0	0	1	0	1
K02403	1	0	0	0	0	0
K02404	1	1	0	0	0	0
K02405	1	0	1	2	0	0
K02406	3	2	1	1	1	2
K02407	0	0	0	0	0	1
K02408	0	0	0	0	2	0
K02409	0	1	0	1	2	2
K02410	1	2	0	1	1	1
K02412	0	0	0	0	2	1
K02414	0	0	1	0	0	0
K02415	0	0	0	1	0	0
K02417	3	1	2	0	0	0
K02419	3	0	1	1	0	0
K02420	0	0	0	0	2	0
K02421	0	1	0	0	0	1
K02426	1	0	1	3	4	0
K02427	2	0	1	1	2	1
K02428	4	3	0	0	0	2
K02429	2	2	1	0	0	1
K02431	3	0	0	1	0	0
K02433	4	8	3	10	3	5
K02434	7	3	1	4	1	1
K02435	0	1	0	0	0	2
K02437	4	3	0	0	1	2
K02438	2	1	0	6	0	2
K02440	0	0	0	2	0	1
K02441	0	0	0	0	0	1
K02444	0	1	0	0	0	0
K02445	1	0	1	0	0	0
K02446	0	1	0	1	2	2
K02448	0	1	0	0	0	0
K02449	0	0	1	1	0	0
K02450	1	1	0	0	1	0
K02453	2	3	0	3	1	2
K02454	3	3	4	5	1	4
K02455	2	0	0	0	0	1
K02456	1	0	0	0	0	0
K02460	0	0	0	0	1	0
K02464	1	0	0	0	0	0
K02467	0	0	0	1	0	0
K02469	16	14	3	16	9	11
K02470	12	9	4	13	8	8
K02471	0	0	0	0	1	0
K02472	1	3	0	1	2	1
K02473	3	5	2	3	1	1
K02474	0	2	1	2	2	1
K02477	2	1	0	2	1	1
K02479	1	1	0	1	0	2
K02481	7	6	2	4	2	4
K02482	5	0	0	2	0	1
K02483	5	4	5	7	2	4
K02484	1	0	0	4	0	0
K02485	1	0	0	0	1	0
K02486	0	0	0	1	0	2
K02487	0	1	0	0	0	0
K02488	1	1	0	1	0	1
K02489	3	1	0	1	1	1
K02492	1	2	0	3	0	3
K02493	0	1	0	0	0	1
K02495	5	4	2	5	1	4
K02498	0	0	1	1	0	2
K02499	0	3	0	0	0	0
K02500	5	7	1	7	4	5
K02501	1	1	1	1	2	0
K02502	0	1	0	0	0	1
K02503	2	3	1	1	1	5
K02504	0	0	0	1	0	0
K02509	2	1	0	0	2	2
K02510	0	4	0	0	1	2
K02515	0	0	1	0	0	0
K02517	0	1	0	1	0	0
K02518	1	1	2	3	1	2
K02519	8	3	4	10	3	8
K02520	4	1	0	3	1	4
K02521	1	0	0	0	0	0
K02522	1	0	1	1	2	0
K02523	3	3	0	4	1	3
K02527	1	0	0	1	0	1
K02528	1	4	0	3	3	0
K02529	7	8	0	3	2	3
K02533	4	0	0	3	1	1
K02535	4	7	2	2	1	3
K02536	0	3	2	3	1	1
K02540	0	1	1	1	0	2
K02541	0	1	1	1	1	1
K02542	0	1	1	1	0	1
K02548	0	1	0	0	0	2
K02549	1	2	1	1	0	1
K02551	2	0	1	1	0	0
K02552	0	2	0	0	0	0
K02554	1	0	0	1	0	0
K02556	1	2	0	1	0	0
K02557	4	0	1	2	0	1
K02558	5	1	1	0	1	2
K02563	2	1	2	3	2	3
K02564	2	2	3	4	1	1
K02565	0	0	0	0	0	1
K02566	2	0	0	0	0	0
K02567	1	0	0	0	0	0
K02569	0	0	0	0	0	1
K02575	0	2	0	0	0	0
K02584	9	3	1	3	2	3
K02586	0	0	0	1	0	0
K02588	1	0	0	0	0	0
K02594	0	0	0	1	1	0
K02599	3	1	1	1	2	1
K02600	10	5	5	11	2	8
K02601	0	1	1	5	0	5
K02603	1	1	0	0	0	0
K02609	4	3	2	0	1	1
K02610	0	0	2	1	0	2
K02611	4	1	2	0	0	1
K02612	0	1	1	1	0	0
K02613	1	3	1	2	0	1
K02614	1	1	0	1	0	0
K02615	4	3	3	4	2	1
K02618	1	5	1	3	2	5
K02619	0	0	0	0	1	0
K02621	8	4	0	7	2	6
K02622	15	6	4	9	7	5
K02630	0	0	0	1	0	0
K02633	0	0	0	1	0	0
K02634	4	0	1	0	1	0
K02635	5	0	1	2	1	1
K02636	0	0	1	0	0	0
K02637	5	0	1	2	2	4
K02639	2	0	1	1	0	3
K02640	0	0	0	0	0	1
K02641	0	0	0	1	0	1
K02650	0	0	0	0	1	0
K02652	4	4	2	7	1	4
K02653	1	2	0	2	0	2
K02654	1	4	0	4	0	0
K02655	0	0	0	0	1	0
K02657	1	0	0	0	0	2
K02659	0	0	0	0	1	0
K02660	1	1	1	0	0	1
K02662	3	1	0	2	0	3
K02664	0	0	0	1	0	0
K02666	0	0	0	1	0	1
K02667	4	2	0	2	4	4
K02668	2	0	0	0	0	1
K02669	4	3	3	3	2	2
K02670	1	0	0	1	0	0
K02671	0	1	0	0	0	0
K02674	0	0	0	1	0	0
K02677	0	1	1	0	0	1
K02678	0	0	1	0	0	0
K02682	0	0	0	0	1	0
K02685	0	0	0	0	0	1
K02687	1	1	0	2	1	1
K02688	0	1	0	0	0	0
K02689	14	4	4	13	3	10
K02690	14	3	4	11	5	6
K02691	4	0	0	1	2	1
K02692	0	0	0	2	1	1
K02693	1	0	0	1	0	1
K02694	2	1	0	0	2	4
K02697	0	1	0	0	2	0
K02698	1	0	0	0	0	0
K02699	0	0	0	0	2	1
K02703	14	2	2	9	1	3
K02704	7	0	4	5	3	4
K02705	10	4	5	1	8	7
K02706	14	2	4	4	4	3
K02707	2	0	0	1	3	0
K02708	0	0	0	0	1	0
K02709	0	1	0	0	0	2
K02710	1	0	0	0	0	1
K02713	1	0	0	0	1	0
K02714	0	1	0	0	0	0
K02715	0	0	0	0	0	2
K02716	0	0	0	1	0	2
K02717	0	1	0	0	0	0
K02718	0	0	0	1	0	0
K02720	0	0	0	1	0	0
K02722	1	0	0	0	0	0
K02724	0	0	1	0	0	0
K02726	1	2	0	0	0	0
K02728	0	2	0	0	0	0
K02729	0	0	1	0	0	0
K02730	0	1	0	0	0	1
K02731	0	0	0	0	1	0
K02732	0	0	0	0	0	1
K02734	1	0	0	2	0	0
K02737	1	1	0	1	0	0
K02739	1	0	0	0	0	0
K02769	0	0	0	1	0	0
K02770	0	0	0	1	0	0
K02793	0	0	0	1	1	0
K02800	1	0	0	0	0	0
K02804	0	0	0	1	0	0
K02805	2	0	0	0	0	0
K02806	1	0	0	1	0	2
K02822	0	1	0	0	0	0
K02823	0	0	1	0	0	0
K02824	0	0	0	1	0	1
K02825	2	1	1	0	1	2
K02834	0	2	1	1	0	0
K02835	7	8	1	6	1	2
K02836	4	2	1	5	3	7
K02837	13	7	0	3	2	2
K02838	4	5	2	5	2	1
K02843	0	2	0	1	1	0
K02852	0	1	1	0	0	0
K02858	5	4	1	5	1	5
K02863	7	4	6	4	7	4
K02864	2	5	0	3	2	3
K02865	0	0	0	0	1	0
K02866	0	1	0	1	1	1
K02867	0	2	0	5	0	2
K02868	0	0	0	0	1	0
K02870	1	1	0	0	0	0
K02871	2	1	2	3	1	2
K02872	0	0	0	0	1	0
K02873	0	1	0	1	0	0
K02874	4	2	1	3	1	5
K02876	1	1	0	1	0	2
K02877	2	0	0	0	0	1
K02878	5	2	2	5	2	5
K02879	5	4	1	3	1	1
K02880	0	0	0	0	0	1
K02881	2	2	2	3	1	2
K02883	0	0	0	1	1	0
K02884	6	3	1	7	3	1
K02885	1	0	0	0	0	0
K02886	11	4	4	14	4	10
K02887	1	1	1	4	1	2
K02888	1	0	1	0	0	2
K02889	0	1	0	0	0	0
K02890	6	0	1	5	1	4
K02892	1	0	0	2	1	1
K02893	0	1	0	0	0	0
K02894	1	0	0	0	0	0
K02895	0	1	0	1	1	1
K02896	1	0	0	0	0	0
K02897	1	2	0	1	0	0
K02898	0	0	0	1	0	0
K02899	2	3	4	1	0	2
K02900	1	1	0	0	0	0
K02902	1	2	0	2	1	1
K02904	0	0	0	3	0	0
K02906	6	4	1	3	1	4
K02907	2	0	0	0	0	1
K02909	4	1	0	1	2	2
K02911	0	0	0	0	0	1
K02912	0	0	0	1	0	0
K02913	2	0	0	2	2	2
K02914	0	0	0	1	1	0
K02915	0	0	0	0	0	1
K02916	0	0	0	1	0	0
K02917	0	0	1	0	0	0
K02919	1	0	2	2	1	0
K02920	0	1	0	0	0	0
K02921	0	0	0	1	0	0
K02925	0	0	1	1	0	0
K02926	4	2	1	2	1	6
K02927	0	0	0	1	1	3
K02930	0	0	0	0	0	1
K02931	9	1	1	5	5	5
K02932	1	1	0	0	0	0
K02933	3	2	0	3	4	3
K02935	8	3	0	4	2	4
K02936	1	0	0	2	1	0
K02937	1	1	0	2	0	1
K02938	0	0	0	1	0	0
K02939	0	3	0	6	1	1
K02940	0	1	0	0	0	0
K02941	0	0	0	1	0	0
K02945	9	7	3	5	1	5
K02946	3	1	1	2	4	2
K02947	0	1	0	0	0	0
K02948	6	1	4	4	1	0
K02949	0	0	0	1	0	1
K02950	9	3	1	1	1	5
K02952	5	1	1	6	1	0
K02953	2	0	0	0	0	0
K02954	2	1	0	2	3	1
K02955	1	0	0	0	0	0
K02956	0	4	0	1	0	3
K02957	0	0	0	1	0	0
K02958	0	1	0	1	0	0
K02959	3	1	0	4	2	6
K02960	0	0	0	0	0	2
K02961	3	3	2	1	1	3
K02962	0	0	0	1	0	0
K02963	4	1	2	4	1	2
K02965	4	1	1	4	4	2
K02966	0	0	1	0	1	0
K02967	5	8	1	4	4	2
K02968	0	0	0	2	1	0
K02970	1	0	0	1	0	2
K02971	0	1	0	0	0	0
K02973	1	0	0	0	0	0
K02977	0	0	0	2	1	3
K02979	0	0	1	0	0	0
K02980	1	1	0	0	0	0
K02981	0	4	0	0	0	0
K02982	4	0	3	7	3	6
K02983	0	0	0	1	0	0
K02984	0	1	0	0	0	0
K02985	0	0	0	1	0	0
K02986	12	3	2	2	2	3
K02987	0	1	1	1	0	1
K02988	5	2	4	2	3	0
K02989	0	1	0	1	0	0
K02990	0	4	0	1	1	2
K02991	0	0	0	1	0	0
K02992	7	3	4	4	3	2
K02994	1	2	1	2	3	3
K02995	1	0	1	0	0	0
K02996	2	1	1	1	3	4
